@relation 'Relase 4 integrated shortened-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R14'

@attribute '\% Profitable Months (IS)' numeric
@attribute '# of profits (IS)' numeric
@attribute '# of trades (IS)' numeric
@attribute '# of losses (IS)' numeric
@attribute 'Annual \% Return (IS)' numeric
@attribute 'CAGR (IS)' numeric
@attribute 'CalmarRatio (IS)' numeric
@attribute 'Avg. \% Profit Per Year (IS)' numeric
@attribute 'Net profit in pips (IS)' numeric
@attribute 'Avg. Yearly Profit In Pips (IS)' numeric
@attribute 'Standard Deviation of Yearly Profit In Pips (IS)' numeric
@attribute 'Count Of Losing Years (IS)' numeric
@attribute 'Coefficient of Variation' numeric
@attribute 'Filters result' {PASSED,FAILED}

@data
54.55,24,40,16,5.43,4.61,1.06,5.43,579.3,72.41,58.56,2,0.808728,PASSED
63.64,24,39,15,7.89,6.31,1.23,7.89,841.3,105.16,70.57,1,0.671073,PASSED
54.55,21,37,16,5.99,5.01,0.71,5.99,638.8,79.85,86.77,2,1.086662,PASSED
72.73,22,35,13,8.04,6.41,1.44,8.04,857.8,107.22,73.23,0,0.682988,PASSED
63.64,23,35,12,6.51,5.38,1,6.51,694.3,86.79,69.01,1,0.795138,FAILED
54.55,23,39,16,6.11,5.1,1.11,6.11,651.7,81.46,74.1,2,0.909649,PASSED
63.64,22,34,12,5.41,4.6,0.89,5.41,577,72.13,53.17,1,0.737141,PASSED
54.55,20,36,16,5,4.3,0.92,5,533.5,66.69,66.27,2,0.993702,PASSED
63.64,20,36,16,7.34,5.95,0.9,7.34,783.1,97.89,82.51,1,0.842885,PASSED
63.64,22,37,15,7.62,6.13,0.83,7.62,812.5,101.56,78.34,1,0.771367,PASSED
63.64,27,42,15,5.95,4.99,0.91,5.95,634.8,79.35,62.32,1,0.785381,FAILED
72.73,22,34,12,7.44,6.01,1.48,7.44,794,99.25,66.58,0,0.670831,PASSED
72.73,21,35,14,7.7,6.19,1.36,7.7,821.8,102.72,64.74,0,0.630257,PASSED
63.64,25,39,14,6.38,5.29,1.23,6.38,680.5,85.06,58.33,1,0.685751,PASSED
54.55,21,35,14,6.75,5.55,0.72,6.75,720,90,90.28,2,1.003111,PASSED
63.64,25,38,13,6.98,5.7,1.1,6.98,744.5,93.06,83.39,1,0.896089,FAILED
54.55,22,40,18,5.47,4.64,0.89,5.47,583.3,72.91,68.4,2,0.938143,PASSED
63.64,29,43,14,5.13,4.39,0.81,5.13,546.8,68.35,57.52,1,0.841551,FAILED
72.73,21,35,14,7.48,6.04,1.45,7.48,798.1,99.76,76.53,0,0.767141,PASSED
54.55,20,37,17,6.06,5.07,1,6.06,646.4,80.8,78.05,2,0.965965,PASSED
72.73,21,34,13,5.77,4.86,0.92,5.77,615.7,76.96,75.14,0,0.976351,FAILED
63.64,24,41,17,6.97,5.69,0.73,6.97,743,92.88,77.19,1,0.831072,PASSED
63.64,23,38,15,6.86,5.62,0.86,6.86,731.7,91.46,76.58,1,0.837306,PASSED
63.64,23,37,14,7.59,6.11,0.95,7.59,809.8,101.23,83.09,1,0.820804,PASSED
72.73,23,36,13,7.41,5.99,1.47,7.41,790.6,98.82,65.33,0,0.661101,PASSED
72.73,22,35,13,7.3,5.92,1.44,7.3,778.4,97.3,62.49,0,0.64224,PASSED
63.64,25,41,16,7.3,5.92,0.76,7.3,778.3,97.29,83.45,1,0.857745,PASSED
54.55,18,34,16,6.34,5.26,1.16,6.34,676.1,84.51,84.33,2,0.99787,PASSED
54.55,23,39,15,5.48,4.65,0.82,5.48,584.9,73.11,77.97,2,1.066475,FAILED
72.73,21,35,14,7.54,6.08,1.37,7.54,804.6,100.57,61.51,0,0.611614,PASSED
54.55,20,36,16,5.56,4.71,1.02,5.56,593.5,74.19,71.13,2,0.958755,PASSED
63.64,26,43,17,8.04,6.4,0.81,8.04,857.3,107.16,79.76,1,0.744308,PASSED
63.64,20,35,14,7.61,6.12,0.85,7.61,811.3,101.41,88.08,1,0.868553,PASSED
54.55,23,39,16,7.21,5.86,1.81,7.21,769.1,96.14,74.19,2,0.771687,PASSED
54.55,23,37,14,6.47,5.35,0.97,6.47,689.9,86.24,74.41,2,0.862825,PASSED
72.73,21,35,14,7.4,5.99,1.34,7.4,789.6,98.7,57.72,0,0.584802,PASSED
63.64,23,38,15,7.3,5.92,0.77,7.3,778.7,97.34,76.75,1,0.788473,PASSED
63.64,20,35,14,7.56,6.09,0.85,7.56,806.3,100.79,87.17,1,0.864868,PASSED
54.55,22,37,15,6.09,5.09,0.72,6.09,649.8,81.22,85.83,2,1.056759,PASSED
63.64,22,37,15,6.67,5.49,0.72,6.67,711.4,88.92,78.18,1,0.879217,PASSED
63.64,19,36,17,7.65,6.15,1.11,7.65,816,102,78,1,0.764706,PASSED
63.64,20,35,15,7.5,6.05,0.92,7.51,800.5,100.06,85.41,1,0.853588,PASSED
63.64,21,34,13,6.22,5.18,1.1,6.22,664,83,73.31,1,0.883253,PASSED
63.64,19,36,17,7.37,5.96,1.07,7.37,786,98.25,74.07,1,0.753893,PASSED
54.55,20,37,17,6.54,5.4,0.74,6.54,697.5,87.19,85.93,2,0.985549,PASSED
54.55,17,35,18,5.54,4.69,0.9,5.54,590.8,73.85,73.96,2,1.00149,PASSED
54.55,20,37,17,6.26,5.2,0.71,6.26,667.5,83.44,83.54,2,1.001198,PASSED
63.64,30,45,15,6.99,5.71,0.8,6.99,745.4,93.17,88.01,1,0.944617,PASSED
63.64,20,34,14,5.61,4.74,0.92,5.61,598.2,74.77,63.09,1,0.843788,PASSED
54.55,23,37,13,5.36,4.56,0.8,5.36,571.5,71.44,74.3,2,1.040034,FAILED
72.73,25,40,15,5.76,4.85,0.96,5.76,614,76.75,29.74,0,0.387492,PASSED
63.64,27,40,13,6.03,5.05,1.08,6.03,643.7,80.46,71.7,1,0.891126,PASSED
72.73,23,36,13,7.13,5.8,1.41,7.13,760.6,95.07,61.88,0,0.650889,PASSED
63.64,20,35,15,7.49,6.04,0.92,7.49,798.9,99.86,85.13,1,0.852493,PASSED
63.64,22,36,14,5.54,4.69,0.97,5.54,590.6,73.82,67.84,1,0.918992,PASSED
72.73,21,34,13,5.59,4.73,0.88,5.59,596.3,74.54,70.11,0,0.940569,FAILED
63.64,21,36,15,5.39,4.58,1.02,5.39,574.5,71.81,51.94,1,0.723298,PASSED
63.64,24,41,17,6.52,5.39,0.82,6.52,695.3,86.91,76.97,1,0.885629,PASSED
63.64,20,36,16,6.83,5.6,0.77,6.83,728.9,91.11,77.47,1,0.850291,PASSED
63.64,23,37,14,7.45,6.02,0.84,7.45,794.3,99.29,79.98,1,0.805519,PASSED
63.64,26,44,18,7.7,6.18,0.77,7.7,821.3,102.66,74.24,1,0.723164,PASSED
54.55,19,35,16,6.46,5.35,0.72,6.46,689.1,86.14,86.28,2,1.001625,PASSED
63.64,28,46,17,7.15,5.81,0.8,7.15,762.2,95.28,74.31,1,0.779912,PASSED
54.55,26,43,17,6.21,5.17,1.13,6.21,662.4,82.8,63.41,2,0.765821,PASSED
54.55,19,34,15,5.53,4.68,1.02,5.53,589.5,73.69,71.59,2,0.971502,PASSED
63.64,25,45,20,7.15,5.82,1.08,7.15,762.8,95.35,57.15,1,0.599371,PASSED
63.64,20,35,15,7.4,5.99,0.82,7.41,789.8,98.73,86.36,1,0.874709,PASSED
54.55,21,35,13,5.57,4.71,0.84,5.57,593.8,74.23,81.12,2,1.09282,FAILED
63.64,21,36,15,6.12,5.11,1.3,6.12,652.7,81.59,60.01,1,0.735507,PASSED
54.55,19,36,17,6.53,5.39,0.86,6.53,696,87,84.4,2,0.970115,PASSED
54.55,20,36,16,5.47,4.64,1,5.47,583.5,72.94,70.18,2,0.962161,PASSED
54.55,19,35,16,6.14,5.12,1.11,6.14,654.7,81.84,79.36,2,0.969697,PASSED
54.55,20,34,14,6.4,5.3,0.72,6.4,682.7,85.34,90.9,2,1.065151,PASSED
72.73,27,45,18,7.82,6.26,1.4,7.82,834,104.25,44.65,0,0.428297,PASSED
54.55,28,43,15,6.53,5.39,0.73,6.53,696.5,87.06,84.37,2,0.969102,PASSED
63.64,22,35,13,6.03,5.05,1.06,6.03,643.4,80.42,68.64,1,0.853519,PASSED
63.64,21,36,15,5.76,4.85,1.1,5.76,614.5,76.81,55.68,1,0.724906,PASSED
63.64,20,34,14,7.2,5.85,0.8,7.2,767.7,95.96,82.68,1,0.861609,PASSED
63.64,22,34,12,5.26,4.49,0.86,5.26,561,70.13,49.07,1,0.699701,PASSED
63.64,20,34,14,5.85,4.92,1.12,5.85,624.4,78.05,58.45,1,0.748879,PASSED
54.55,23,39,16,6.93,5.67,1.73,6.93,739.1,92.39,71.66,2,0.775625,PASSED
63.64,20,34,14,5.8,4.88,0.96,5.8,618.2,77.27,67.67,1,0.87576,PASSED
63.64,20,36,16,7.67,6.16,0.79,7.67,818.4,102.3,81.79,1,0.799511,PASSED
54.55,20,35,15,6.4,5.3,0.72,6.4,682.3,85.29,89.18,2,1.045609,PASSED
72.73,21,35,14,7.36,5.96,1.33,7.36,784.6,98.07,56.49,0,0.576017,PASSED
63.64,20,35,15,7.59,6.11,0.81,7.59,809.1,101.14,80.41,1,0.795037,PASSED
63.64,20,36,16,6.65,5.47,0.75,6.65,708.9,88.61,75.16,1,0.848211,PASSED
63.64,20,35,15,7.36,5.96,0.82,7.36,784.8,98.1,85.49,1,0.871458,PASSED
72.73,22,35,13,5.53,4.69,0.87,5.53,590.3,73.79,68.6,0,0.929665,FAILED
54.55,20,36,16,6.22,5.18,0.74,6.22,663.1,82.89,88.29,2,1.065147,PASSED
54.55,18,34,16,6.15,5.13,1.12,6.15,655.8,81.98,79.6,2,0.970969,PASSED
63.64,24,36,12,5.17,4.42,0.86,5.17,551.9,68.99,53.97,1,0.782287,PASSED
63.64,20,34,14,5.53,4.68,1.04,5.53,589.4,73.68,50.88,1,0.690554,PASSED
54.55,19,34,15,5.1,4.37,0.73,5.1,544.1,68.01,58.38,2,0.858403,PASSED
63.64,20,34,14,5.99,5.02,1.15,5.99,639.4,79.93,62.07,1,0.776554,PASSED
72.73,21,35,14,8.27,6.55,1.49,8.27,881.8,110.22,79.38,0,0.720196,PASSED
63.64,26,43,17,5.26,4.49,1.03,5.26,561,70.13,57.1,1,0.814202,PASSED
54.55,21,37,16,6.1,5.09,0.72,6.1,650.4,81.3,87.91,2,1.081304,PASSED
54.55,20,35,15,6.3,5.24,0.71,6.3,672.3,84.04,87.78,2,1.044503,PASSED
54.55,23,37,14,6.65,5.48,0.73,6.65,709.5,88.69,85.13,2,0.95986,PASSED
54.55,21,35,14,6.43,5.33,0.73,6.43,686.3,85.79,91.54,2,1.067024,PASSED
54.55,18,34,16,6.54,5.4,0.86,6.54,697.9,87.24,85,2,0.974324,PASSED
54.55,23,39,16,6.07,5.07,0.87,6.07,647.3,80.91,66.16,2,0.817699,PASSED
54.55,24,38,14,7.1,5.78,1.28,7.1,757.3,94.66,87.27,2,0.921931,PASSED
50,20,34,14,5.36,4.56,0.34,5.36,571.6,71.45,173.98,3,2.43499,FAILED
54.55,20,31,11,3.39,3.04,0.82,3.39,271.2,33.9,43.29,2,1.276991,PASSED
54.55,20,32,12,3.4,3.05,0.71,3.4,272,34,52.87,2,1.555,PASSED
45.45,19,31,12,4.39,3.84,0.75,4.39,351.4,43.92,52.93,3,1.205146,PASSED
45.45,19,31,12,4.38,3.83,0.75,4.39,350.8,43.85,52.82,3,1.204561,PASSED
54.55,20,31,11,3.7,3.29,0.88,3.69,295.6,36.95,47.28,2,1.279567,PASSED
54.55,21,34,13,3.38,3.04,0.71,3.38,270.5,33.81,50.66,2,1.498373,PASSED
54.55,24,31,7,6.19,5.16,0.62,6.19,495,61.88,71.86,2,1.16128,PASSED
