@relation 'Relase 4 integrated-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R4'

@attribute 'Filters result' {PASSED,FAILED}
@attribute 'Gross profit (IS)' numeric
@attribute 'Gross loss (IS)' numeric
@attribute 'numberof profits (IS)' numeric
@attribute 'numberof trades (IS)' numeric
@attribute '\% Profitable Months (IS)' numeric
@attribute '# of profits (IS)' numeric
@attribute '# of trades (IS)' numeric
@attribute '# of losses (IS)' numeric
@attribute 'Worst Year Profit (IS)' numeric
@attribute 'Annual \% Return (IS)' numeric
@attribute 'CAGR (IS)' numeric
@attribute 'CalmarRatio (IS)' numeric
@attribute 'Avg. \% Profit Per Year (IS)' numeric
@attribute 'AvgProfit Per Year (IS)' numeric
@attribute 'Standard Deviation of Profit Per Year (IS)' numeric
@attribute 'Varianceof Profit Per Year (IS)' numeric
@attribute 'Net profit (IS)' numeric
@attribute 'Net profit in pips (IS)' numeric
@attribute 'Avg. Yearly Profit In Pips (IS)' numeric
@attribute 'Standard Deviation of Yearly Profit In Pips (IS)' numeric
@attribute 'Variance of Yearly Profit In Pips (IS)' numeric
@attribute 'Variance of Profit Per Year (IS)' numeric
@attribute 'Count Of Losing Years (IS)' numeric
@attribute 'Coefficient of Variation' numeric

@data
PASSED,7548,3452.25,20,35,63.64,20,35,15,-41.25,5.12,4.38,0.83,5.12,511.88,451.74,204067.69,4095.75,546.1,68.26,60.23,3627.87,204067.69,1,0.882362
PASSED,6993.75,3267.75,23,39,63.64,23,39,16,-63.75,4.66,4.04,0.89,4.66,465.75,396.64,157326.89,3726,496.8,62.1,52.89,2796.92,157326.89,1,0.851691
FAILED,7335,3258.75,20,35,72.73,20,35,15,183.75,5.1,4.37,0.73,5.09,509.5,330.28,109081.82,4076.25,543.5,67.94,44.04,1939.23,109081.82,0,0.648219
FAILED,7042.5,3231.75,21,36,63.64,21,36,15,-1.5,4.76,4.12,0.89,4.76,476.25,358.11,128239.66,3810.75,508.1,63.51,47.75,2279.82,128239.66,1,0.75185
PASSED,8416.5,3868.5,19,35,72.73,19,35,16,102.75,5.68,4.8,0.72,5.68,568.5,363.97,132476.2,4548,606.4,75.8,48.53,2355.13,132476.2,0,0.640237
PASSED,7684.5,3746.25,20,35,63.64,20,35,15,-61.5,4.92,4.24,0.74,4.92,492.25,397.93,158351.9,3938.25,525.1,65.64,53.06,2815.14,158351.9,1,0.808349
PASSED,7797,3701.25,20,35,63.64,20,35,15,-61.5,5.12,4.38,0.76,5.12,511.88,400.54,160433.86,4095.75,546.1,68.26,53.41,2852.16,160433.86,1,0.782449
PASSED,8268,3772.5,19,35,63.64,19,35,16,-82.5,5.62,4.75,0.82,5.62,561.88,448.92,201527.27,4495.5,599.4,74.93,59.86,3582.71,201527.27,1,0.798879
PASSED,8549.25,4041.75,27,47,63.64,27,47,20,-163.5,5.63,4.76,0.71,5.63,563.38,512.37,262526.03,4507.5,601,75.12,68.32,4667.13,262526.03,1,0.909478
FAILED,6304.5,3042,19,35,72.73,19,35,16,73.5,4.08,3.59,0.71,4.08,407.75,269.18,72458.27,3262.5,435,54.38,35.89,1288.15,72458.27,0,0.659985
PASSED,8385,3756,19,35,72.73,19,35,16,176.25,5.79,4.87,0.74,5.79,578.63,356.96,127417.22,4629,617.2,77.15,47.59,2265.19,127417.22,0,0.61685
FAILED,6987.75,3061.5,22,35,63.64,22,35,13,-33.75,4.91,4.23,0.85,4.91,490.75,285.16,81317.1,3926.25,523.5,65.44,38.02,1445.64,81317.1,1,0.58099
FAILED,6502.5,3086.25,22,35,63.64,22,35,13,-155.25,4.27,3.74,0.71,4.27,427,292.89,85783.07,3416.25,455.5,56.94,39.05,1525.03,85783.07,1,0.68581
PASSED,6892.5,3006.75,20,34,54.55,20,34,14,-130.5,4.86,4.19,0.96,4.86,485.63,471.86,222647.76,3885.75,518.1,64.76,62.91,3958.18,222647.76,2,0.971433
FAILED,7785,3504,19,35,72.73,19,35,16,117,5.35,4.56,0.76,5.35,535.13,383.61,147156.19,4281,570.8,71.35,51.15,2616.11,147156.19,0,0.716889
FAILED,7299,3243,19,34,72.73,19,34,15,117,5.07,4.35,0.72,5.07,507,341.1,116348.77,4056,540.8,67.6,45.48,2068.42,116348.77,0,0.672781
FAILED,6744,3276.75,25,40,54.55,25,40,15,-303,4.33,3.79,0.77,4.33,433.38,439.79,193417.52,3467.25,462.3,57.79,58.64,3438.53,193417.52,2,1.014708
PASSED,8200.5,3847.5,27,45,63.64,27,45,18,-41.25,5.44,4.62,0.87,5.44,544.13,454.66,206718.33,4353,580.4,72.55,60.62,3674.99,206718.33,1,0.835562
PASSED,7891.5,3523.5,26,44,63.64,26,44,18,-102.75,5.46,4.63,0.73,5.46,546,455.48,207463.36,4368,582.4,72.8,60.73,3688.24,207463.36,1,0.834203
PASSED,6079.5,5967.75,17,34,33.33,17,34,17,-1952.25,0.14,0.14,0,0.14,13.88,968.07,937152.84,111.75,14.9,1.86,129.08,16660.49,937152.84,4,69.397849
PASSED,8221.5,3323.25,20,36,54.55,20,36,16,-583.5,6.12,5.11,0.72,6.12,612.25,653.79,427445.85,4898.25,653.1,81.64,87.17,7599.04,427445.85,2,1.067736
PASSED,7296.75,2202.75,20,34,63.64,20,34,14,-83.25,6.37,5.28,1.35,6.37,636.75,481.13,231482.81,5094,679.2,84.9,64.15,4115.25,231482.81,1,0.755595
PASSED,8718.75,3219,25,41,63.64,25,41,16,-499.5,6.87,5.63,0.72,6.88,687.38,603.83,364610.25,5499.75,733.3,91.66,80.51,6481.96,364610.25,1,0.878355
PASSED,7973.25,3021,24,42,54.55,24,42,18,-545.25,6.19,5.16,0.74,6.19,619,626.09,391983.32,4952.25,660.3,82.54,83.48,6968.59,391983.32,2,1.011388
PASSED,7158,1933.5,18,34,54.55,18,34,15,-183.75,6.53,5.39,1.65,6.53,653,590.07,348179.88,5224.5,696.6,87.08,78.68,6189.86,348179.88,2,0.903537
PASSED,6876,2797.5,22,37,54.55,22,37,15,-255.75,5.1,4.37,0.74,5.1,509.75,436.84,190831.61,4078.5,543.8,67.97,58.25,3392.56,190831.61,2,0.856996
PASSED,7265.25,2610,20,37,54.55,20,37,17,-244.5,5.82,4.89,1.05,5.82,581.88,620.79,385376.97,4655.25,620.7,77.59,82.77,6851.15,385376.97,2,1.066761
PASSED,8406,2926.5,20,36,63.64,20,36,15,-337.5,6.85,5.61,0.78,6.85,684.88,575.32,330993.67,5479.5,730.6,91.32,76.71,5884.33,330993.67,1,0.840013
PASSED,6702.75,2220.75,19,34,54.55,19,34,15,-206.25,5.6,4.74,1.03,5.6,560.25,549.5,301954.5,4482,597.6,74.7,73.27,5368.08,301954.5,2,0.980857
PASSED,8417.25,2959.5,20,34,63.64,20,34,14,-499.5,6.82,5.59,0.71,6.82,682.13,641.75,411837.75,5457.75,727.7,90.96,85.57,7321.56,411837.75,1,0.940743
FAILED,6338.25,2310,23,35,63.64,23,35,12,-20.25,5.04,4.32,0.73,5.03,503.5,467.4,218461.77,4028.25,537.1,67.14,62.32,3883.76,218461.77,1,0.92821
PASSED,6454.5,2140.5,22,34,63.64,22,34,12,-92.25,5.39,4.59,0.89,5.39,539.25,395.87,156713.63,4314,575.2,71.9,52.78,2786.02,156713.63,1,0.734075
PASSED,9135.75,2926.5,19,34,63.64,19,34,15,-204,7.76,6.22,1.13,7.76,776.13,599.38,359262.2,6209.25,827.9,103.49,79.92,6386.88,359262.2,1,0.772249
FAILED,6895.5,2434.5,22,35,54.55,22,35,12,-332.25,5.58,4.72,0.84,5.58,557.63,610.1,372226.64,4461,594.8,74.35,81.35,6617.36,372226.64,2,1.094149
PASSED,6760.5,2094.75,20,37,54.55,20,37,16,-183.75,5.83,4.9,1.45,5.83,583.13,532.64,283706.44,4665.75,622.1,77.76,71.02,5043.67,283706.44,2,0.913323
PASSED,8245.5,3325.5,19,36,54.55,19,36,17,-489,6.15,5.13,0.8,6.15,615,603.44,364136.63,4920,656,82,80.46,6473.54,364136.63,2,0.98122
PASSED,8919,2883.75,20,35,63.64,20,35,14,-337.5,7.54,6.08,0.85,7.54,754.38,651.58,424561.42,6035.25,804.7,100.59,86.88,7547.76,424561.42,1,0.863704
PASSED,6225,2157,21,36,63.64,21,36,15,-266.25,5.09,4.36,0.83,5.09,508.5,448.3,200976.47,4068,542.4,67.8,59.77,3572.92,200976.47,1,0.881563
PASSED,8890.5,2840.25,21,34,63.64,21,34,13,-279,7.56,6.09,0.81,7.56,756.25,624.79,390362.34,6050.25,806.7,100.84,83.31,6939.78,390362.34,1,0.82616
PASSED,9198.75,2826,22,35,63.64,22,35,13,-214.5,7.97,6.36,0.8,7.97,796.5,603.51,364218.68,6372.75,849.7,106.21,80.47,6475,364218.68,1,0.75765
PASSED,9091.5,2910.75,20,35,63.64,20,35,15,-272.25,7.73,6.2,0.82,7.73,772.5,621.73,386542.05,6180.75,824.1,103.01,82.9,6871.86,386542.05,1,0.804776
PASSED,8100.75,1965.75,21,35,72.73,21,35,14,176.25,7.67,6.16,1.4,7.67,766.88,487.72,237871.13,6135,818,102.25,65.03,4228.82,237871.13,0,0.63599
PASSED,9013.5,2908.5,20,34,63.64,20,34,14,-272.25,7.63,6.14,0.81,7.63,763.13,609,370880.44,6105,814,101.75,81.2,6593.43,370880.44,1,0.798034
PASSED,8104.5,3180.75,19,34,54.55,19,34,15,-583.5,6.15,5.13,0.73,6.16,615.38,658.52,433646.44,4923.75,656.5,82.06,87.8,7709.27,433646.44,2,1.069949
PASSED,9104.25,2603.25,23,37,63.64,23,37,14,-207.75,8.13,6.46,0.85,8.13,812.63,607.13,368611.45,6501,866.8,108.35,80.95,6553.09,368611.45,1,0.747116
PASSED,7740,2768.25,17,34,54.55,17,34,17,-450.75,6.21,5.17,1.03,6.22,621.38,618.63,382700.67,4971.75,662.9,82.86,82.48,6803.57,382700.67,2,0.995414
PASSED,8733,2757,20,34,63.64,20,34,13,-337.5,7.47,6.03,0.84,7.47,747,641.13,411046.17,5976,796.8,99.6,85.48,7307.49,411046.17,1,0.858233
PASSED,7566.75,3098.25,28,45,63.64,28,45,17,-199.5,5.59,4.73,1.05,5.59,558.5,441.27,194718.34,4468.5,595.8,74.48,58.84,3461.66,194718.34,1,0.790011
PASSED,8357.25,2092.5,27,42,72.73,27,42,15,176.25,7.83,6.27,1.42,7.83,783,372.12,138472.24,6264.75,835.3,104.41,49.62,2461.73,138472.24,0,0.475242
FAILED,7763.25,2316,23,34,63.64,23,34,11,-282,6.81,5.59,1.05,6.81,680.88,572.14,327342.3,5447.25,726.3,90.79,76.29,5819.42,327342.3,1,0.840291
PASSED,9282,3075.75,22,37,63.64,22,37,15,-272.25,7.76,6.22,0.85,7.76,775.75,598.72,358468.02,6206.25,827.5,103.44,79.83,6372.76,358468.02,1,0.771752
PASSED,7690.5,2787.75,21,37,54.55,21,37,16,-371.25,6.13,5.11,0.89,6.13,612.75,541.37,293085.91,4902.75,653.7,81.71,72.18,5210.42,293085.91,2,0.883368
PASSED,7918.5,1839,22,35,72.73,22,35,13,176.25,7.6,6.12,1.38,7.6,759.88,473.03,223758.95,6079.5,810.6,101.32,63.07,3977.94,223758.95,0,0.622483
PASSED,8357.25,3434.25,22,40,54.55,22,40,18,-489,6.15,5.13,0.8,6.15,615.38,601.65,361978.17,4923,656.4,82.05,80.22,6435.17,361978.17,2,0.977697
PASSED,9366,3096,19,36,63.64,19,36,17,-204,7.84,6.27,1.14,7.84,783.75,606,367242.05,6270,836,104.5,80.8,6528.75,367242.05,1,0.773206
PASSED,8507.25,3104.25,26,41,54.55,26,41,15,-492.75,6.75,5.55,0.72,6.75,675.38,639.15,408515.77,5403,720.4,90.05,85.22,7262.5,408515.77,2,0.946363
PASSED,8544.75,3670.5,29,47,54.55,29,47,18,-465.75,6.09,5.09,0.81,6.09,609.25,558.66,312099.6,4874.25,649.9,81.24,74.49,5548.44,312099.6,2,0.916913
PASSED,8894.25,2954.25,22,34,63.64,22,34,12,-312.75,7.42,6,0.72,7.43,742.5,658.46,433566.7,5940,792,99,87.79,7707.85,433566.7,1,0.886768
PASSED,8043,3270,25,44,54.55,25,44,19,-390,5.97,5,1,5.97,596.63,519.19,269560.13,4773,636.4,79.55,69.23,4792.18,269560.13,2,0.87027
PASSED,8309.25,3189.75,24,40,63.64,24,40,16,-564,6.4,5.3,0.73,6.4,639.88,622.47,387467.12,5119.5,682.6,85.33,83,6888.3,387467.12,1,0.972694
PASSED,7465.5,2345.25,21,36,63.64,21,36,15,-83.25,6.4,5.3,1.36,6.4,640,472.91,223646.05,5120.25,682.7,85.34,63.05,3975.93,223646.05,1,0.738809
FAILED,7675.5,2318.25,23,35,63.64,23,35,12,-282,6.7,5.51,1.03,6.7,669.63,550.97,303571.75,5357.25,714.3,89.29,73.46,5396.83,303571.75,1,0.822713
PASSED,7795.5,2328,21,34,54.55,21,34,13,-222,6.83,5.6,1.23,6.83,683.38,606.37,367686.11,5467.5,729,91.13,80.85,6536.64,367686.11,2,0.887194
PASSED,8126.25,3223.5,21,37,54.55,21,37,16,-564,6.13,5.11,0.71,6.13,612.75,628.93,395554.99,4902.75,653.7,81.71,83.86,7032.09,395554.99,2,1.026313
PASSED,9024,3007.5,23,37,63.64,23,37,14,-279,7.52,6.06,0.83,7.52,752,567.26,321778.52,6016.5,802.2,100.27,75.63,5720.51,321778.52,1,0.754263
FAILED,6428.25,2310,22,34,63.64,22,34,12,-20.25,5.15,4.41,0.75,5.15,514.75,489.65,239760.13,4118.25,549.1,68.64,65.29,4262.4,239760.13,1,0.951195
PASSED,8069.25,3170.25,22,37,54.55,22,37,15,-610.5,6.12,5.11,0.73,6.12,612.38,646.38,417807.7,4899,653.2,81.65,86.18,7427.69,417807.7,2,1.055481
PASSED,9392.25,2889,21,35,63.64,21,35,14,-124.5,8.13,6.46,1.27,8.13,812.88,562.04,315887.55,6503.25,867.1,108.39,74.94,5615.78,315887.55,1,0.691392
FAILED,6885.75,2434.5,21,34,54.55,21,34,12,-332.25,5.56,4.71,0.84,5.56,556.38,607.92,369561.58,4451.25,593.5,74.19,81.06,6569.98,369561.58,2,1.0926
PASSED,8115,2117.25,21,35,72.73,21,35,14,201.75,7.5,6.05,1.45,7.5,749.63,577.09,333034.03,5997.75,799.7,99.96,76.95,5920.6,333034.03,0,0.769808
PASSED,6964.5,1933.5,18,34,54.55,18,34,15,-183.75,6.29,5.23,1.58,6.29,628.88,547.34,299585.67,5031,670.8,83.85,72.98,5325.97,299585.67,2,0.870364
PASSED,8954.25,2699.25,22,34,63.64,22,34,12,-214.5,7.82,6.26,0.78,7.82,781.88,583.7,340701.33,6255,834,104.25,77.83,6056.91,340701.33,1,0.746571
PASSED,7391.25,2768.25,20,37,54.55,20,37,17,-450.75,5.78,4.86,0.95,5.78,577.88,566.68,321125.48,4623,616.4,77.05,75.56,5708.9,321125.48,2,0.980662
PASSED,8017.5,3183,21,37,54.55,21,37,16,-489,6.04,5.05,0.79,6.04,604.25,597.34,356814.53,4834.5,644.6,80.58,79.65,6343.37,356814.53,2,0.988459
PASSED,6993,1933.5,19,35,54.55,19,35,15,-183.75,6.32,5.25,1.6,6.32,632.38,553.38,306228.62,5059.5,674.6,84.33,73.78,5444.06,306228.62,2,0.874896
PASSED,9723.75,2956.5,26,43,63.64,26,43,17,-214.5,8.46,6.67,0.84,8.46,845.88,624.89,390487.42,6767.25,902.3,112.79,83.32,6942,390487.42,1,0.738718
PASSED,7746,2379.75,25,39,63.64,25,39,14,-83.25,6.71,5.52,1.3,6.71,670.75,462.1,213537.51,5366.25,715.5,89.44,61.61,3796.22,213537.51,1,0.688842
PASSED,9094.5,3166.5,24,39,63.64,24,39,15,-312.75,7.41,5.99,0.74,7.41,741,624.51,390018.23,5928,790.4,98.8,83.27,6933.66,390018.23,1,0.842814
PASSED,7689,2787.75,18,34,54.55,18,34,16,-371.25,6.13,5.11,0.88,6.13,612.63,533.37,284485.56,4901.25,653.5,81.69,71.12,5057.52,284485.56,2,0.870608
PASSED,8008.5,2115,21,34,72.73,21,34,13,201.75,7.37,5.96,1.42,7.37,736.63,550.42,302959.94,5893.5,785.8,98.23,73.39,5385.95,302959.94,0,0.747124
PASSED,9572.25,3593.25,26,47,63.64,26,47,21,-143.25,7.47,6.03,1.07,7.47,747.38,498.94,248936.2,5979,797.2,99.65,66.52,4425.53,248936.2,1,0.667536
PASSED,8388.75,2097.75,22,36,72.73,22,36,14,133.5,7.86,6.29,1.39,7.86,786.38,513.12,263295.84,6291,838.8,104.85,68.42,4680.82,263295.84,0,0.652551
PASSED,7734.75,2787.75,18,34,54.55,18,34,16,-371.25,6.18,5.15,0.89,6.18,618.38,540.45,292084.17,4947,659.6,82.45,72.06,5192.61,292084.17,2,0.873984
PASSED,9075.75,2925.75,25,41,63.64,25,41,16,-124.5,7.69,6.17,1.17,7.69,768.75,512.08,262222.17,6150,820,102.5,68.28,4661.73,262222.17,1,0.666146
PASSED,8709.75,3136.5,20,36,63.64,20,36,16,-298.5,6.97,5.69,0.86,6.97,696.63,578.66,334846.19,5573.25,743.1,92.89,77.15,5952.82,334846.19,1,0.830552
PASSED,8658.75,2057.25,21,35,72.73,21,35,14,133.5,8.25,6.54,1.48,8.25,825.13,592.17,350669.08,6601.5,880.2,110.02,78.96,6234.12,350669.08,0,0.717688
PASSED,8979,2538.75,26,46,72.73,26,46,20,133.5,8.05,6.41,1.41,8.05,805,444.95,197984.1,6440.25,858.7,107.34,59.33,3519.72,197984.1,0,0.55273
FAILED,7152.75,2561.25,21,35,54.55,21,35,13,-332.25,5.74,4.84,0.87,5.74,573.88,640.23,409899.34,4591.5,612.2,76.53,85.36,7287.1,409899.34,2,1.11538
PASSED,8541,3157.5,20,34,54.55,20,34,14,-409.5,6.73,5.53,1.02,6.73,672.88,595.47,354584.22,5383.5,717.8,89.72,79.4,6303.72,354584.22,2,0.884975
PASSED,9060.75,2772.75,20,36,63.64,20,36,16,-207.75,7.86,6.29,0.81,7.86,786,633.93,401863.08,6288,838.4,104.8,84.52,7144.23,401863.08,1,0.806489
PASSED,9195.75,2929.5,23,37,63.64,23,37,14,-124.5,7.83,6.27,1.23,7.83,783.25,507.46,257514.04,6266.25,835.5,104.44,67.66,4578.03,257514.04,1,0.647836
PASSED,7572.75,2949,19,36,54.55,19,36,17,-371.25,5.78,4.87,0.84,5.78,577.88,518.33,268667.72,4623.75,616.5,77.06,69.11,4776.31,268667.72,2,0.896834
PASSED,6533.25,2382,20,36,54.55,20,36,16,-206.25,5.19,4.44,0.95,5.19,518.88,507.42,257470.66,4151.25,553.5,69.19,67.66,4577.26,257470.66,2,0.977887
PASSED,7566,2768.25,17,34,54.55,17,34,17,-450.75,6,5.02,0.99,6,599.63,591.73,350145,4797.75,639.7,79.96,78.9,6224.8,350145,2,0.986743
PASSED,8822.25,2842.5,21,35,63.64,21,35,14,-279,7.47,6.03,0.8,7.47,747.38,614.29,377348.48,5979.75,797.3,99.66,81.9,6708.42,377348.48,1,0.821794
PASSED,9175.5,3081,22,35,63.64,22,35,13,-312.75,7.62,6.13,0.74,7.62,761.75,684.92,469114.98,6094.5,812.6,101.57,91.32,8339.82,469114.98,1,0.899084
PASSED,8692.5,3386.25,25,43,54.55,25,43,18,-327.75,6.63,5.47,0.93,6.63,663.25,577.4,333389.66,5306.25,707.5,88.44,76.99,5926.93,333389.66,2,0.870534
FAILED,6345.75,2310,22,34,63.64,22,34,12,-20.25,5.04,4.33,0.73,5.05,504.38,469.22,220168.97,4035.75,538.1,67.26,62.56,3914.11,220168.97,1,0.930122
PASSED,8438.25,2819.25,24,41,63.64,24,41,16,-337.5,7.02,5.73,0.81,7.02,702.38,605.56,366702.75,5619,749.2,93.65,80.74,6519.16,366702.75,1,0.862146
PASSED,8192.25,2166.75,22,35,72.73,22,35,13,165.75,7.53,6.07,1.5,7.53,753.13,518.3,268630,6025.5,803.4,100.42,69.11,4775.64,268630,0,0.68821
PASSED,9120.75,2762.25,21,34,63.64,21,34,13,-124.5,7.95,6.35,1.23,7.95,794.75,531.26,282241.66,6358.5,847.8,105.97,70.84,5017.63,282241.66,1,0.668491
PASSED,8949,2980.5,27,47,72.73,27,47,20,219.75,7.46,6.02,1.31,7.46,746,396.1,156895.7,5968.5,795.8,99.47,52.81,2789.26,156895.7,0,0.530914
PASSED,8313.75,2097.75,22,36,72.73,22,36,14,133.5,7.77,6.23,1.38,7.77,777,503.35,253357.17,6216,828.8,103.6,67.11,4504.13,253357.17,0,0.64778
PASSED,8129.25,3170.25,19,34,54.55,19,34,15,-610.5,6.2,5.16,0.72,6.2,619.88,682.08,465226.88,4959,661.2,82.65,90.94,8270.7,465226.88,2,1.100302
PASSED,8465.25,3300,21,36,54.55,21,36,15,-409.5,6.46,5.34,0.97,6.46,645.63,560.51,314176.42,5165.25,688.7,86.09,74.74,5585.36,314176.42,2,0.868161
PASSED,7861.5,2470.5,22,36,54.55,22,36,14,-222,6.74,5.54,1.21,6.74,673.88,579.5,335826,5391,718.8,89.85,77.27,5970.24,335826,2,0.859989
FAILED,6675,2516.25,24,38,63.64,24,38,14,-96,5.2,4.44,0.83,5.2,519.75,542.59,294398.51,4158.75,554.5,69.31,72.34,5233.75,294398.51,1,1.043717
PASSED,8943,2605.5,20,35,63.64,20,35,15,-207.75,7.92,6.33,0.81,7.92,792.13,643.26,413780.73,6337.5,845,105.63,85.77,7356.1,413780.73,1,0.811985
PASSED,8585.25,3215.25,24,43,63.64,24,43,19,-204,6.71,5.52,0.96,6.71,671.25,502.56,252570.09,5370,716,89.5,67.01,4490.13,252570.09,1,0.748715
PASSED,9189.75,2929.5,22,36,63.64,22,36,14,-124.5,7.83,6.27,1.22,7.82,782.5,526.22,276907.77,6260.25,834.7,104.34,70.16,4922.8,276907.77,1,0.672417
PASSED,8473.5,3157.5,24,38,54.55,24,38,14,-409.5,6.64,5.47,1,6.64,664.5,597.98,357583.78,5316,708.8,88.6,79.73,6357.04,357583.78,2,0.899887
FAILED,6300.75,2310,23,35,63.64,23,35,12,-20.25,4.99,4.29,0.72,4.99,498.75,458.38,210110.41,3990.75,532.1,66.51,61.12,3735.3,210110.41,1,0.91896
PASSED,8094.75,2061,26,41,72.73,26,41,15,176.25,7.54,6.08,1.4,7.54,754.13,377.54,142539.61,6033.75,804.5,100.56,50.34,2534.04,142539.61,0,0.500597
PASSED,8122.5,2957.25,25,42,54.55,25,42,17,-244.5,6.46,5.34,1.18,6.46,645.63,528.13,278923.28,5165.25,688.7,86.09,70.42,4958.64,278923.28,2,0.817981
PASSED,7227.75,2467.5,19,35,54.55,19,35,16,-244.5,5.95,4.99,1.08,5.95,595,562.61,316530.13,4760.25,634.7,79.34,75.01,5627.2,316530.13,2,0.945425
PASSED,8493.75,3183,19,35,54.55,19,35,16,-489,6.64,5.47,0.88,6.64,663.75,650.23,422804.32,5310.75,708.1,88.51,86.7,7516.52,422804.32,2,0.97955
PASSED,8748.75,2909.25,24,38,63.64,24,38,14,-214.5,7.3,5.92,0.75,7.3,729.88,511.2,261322.42,5839.5,778.6,97.32,68.16,4645.73,261322.42,1,0.70037
PASSED,8325,3417.75,29,45,54.55,29,45,16,-610.5,6.13,5.12,0.71,6.13,613.38,604.12,364965.67,4907.25,654.3,81.79,80.55,6488.28,364965.67,2,0.984839
PASSED,8095.5,3325.5,19,36,54.55,19,36,17,-489,5.96,5,0.78,5.96,596.25,590.78,349019.44,4770,636,79.5,78.77,6204.79,349019.44,2,0.990818
PASSED,9047.25,2842.5,21,35,63.64,21,35,14,-279,7.76,6.22,0.83,7.76,775.5,650.14,422684.23,6204.75,827.3,103.41,86.69,7514.39,422684.23,1,0.838314
PASSED,9172.5,3336,28,45,63.64,28,45,17,-298.5,7.3,5.91,0.89,7.3,729.5,540.47,292106.5,5836.5,778.2,97.28,72.06,5193,292106.5,1,0.740748
PASSED,7087.5,2318.25,26,39,63.64,26,39,13,-92.25,5.96,5,1.07,5.96,596.13,400.45,160356.44,4769.25,635.9,79.49,53.39,2850.78,160356.44,1,0.671657
FAILED,6954,2373.75,21,34,72.73,21,34,13,9,5.73,4.83,0.91,5.72,572.5,553.67,306550.96,4580.25,610.7,76.34,73.82,5449.79,306550.96,0,0.96699
PASSED,9426.75,3213.75,29,46,63.64,29,46,17,-272.25,7.77,6.23,0.81,7.77,776.63,521.22,271668.94,6213,828.4,103.55,69.5,4829.67,271668.94,1,0.671173
PASSED,7810.5,2929.5,17,35,54.55,17,35,18,-450.75,6.1,5.09,1.01,6.1,610.13,599.96,359951.2,4881,650.8,81.35,79.99,6399.13,359951.2,2,0.983282
PASSED,8013.75,2166.75,25,38,72.73,25,38,13,165.75,7.31,5.92,1.47,7.31,730.88,471.48,222290.86,5847,779.6,97.45,62.86,3951.84,222290.86,0,0.645049
PASSED,8934.75,2842.5,21,35,63.64,21,35,14,-279,7.62,6.13,0.82,7.61,761.5,631.37,398632.07,6092.25,812.3,101.54,84.18,7086.79,398632.07,1,0.829033
PASSED,7908,1839,21,34,72.73,21,34,13,176.25,7.59,6.11,1.38,7.59,758.63,470.28,221164.88,6069,809.2,101.15,62.7,3931.82,221164.88,0,0.619871
PASSED,9000.75,4137,32,50,54.55,32,50,18,-403.5,6.08,5.08,0.91,6.08,607.88,553.73,306611.72,4863.75,648.5,81.06,73.83,5450.87,306611.72,2,0.910807
PASSED,8748.75,2701.5,22,35,63.64,22,35,13,-214.5,7.56,6.09,0.76,7.56,755.88,553.72,306605.17,6047.25,806.3,100.79,73.83,5450.76,306605.17,1,0.732513
PASSED,6858,1933.5,18,34,54.55,18,34,15,-183.75,6.16,5.13,1.55,6.16,615.5,525.68,276334.56,4924.5,656.6,82.08,70.09,4912.61,276334.56,2,0.853923
PASSED,7476.75,2459.25,24,37,63.64,24,37,13,-304.5,6.27,5.21,1.11,6.27,627.13,569,323757.81,5017.5,669,83.62,75.87,5755.69,323757.81,1,0.907319
PASSED,6437.25,1779.75,20,34,63.64,20,34,14,-45,5.82,4.9,1.11,5.82,582.13,432.4,186970.19,4657.5,621,77.63,57.65,3323.91,186970.19,1,0.742625
PASSED,9095.25,3121.5,23,36,63.64,23,36,13,-312.75,7.47,6.03,0.73,7.47,746.63,661.66,437794.45,5973.75,796.5,99.56,88.22,7783.01,437794.45,1,0.886099
PASSED,8673.75,2646,23,38,63.64,23,38,15,-207.75,7.53,6.07,0.79,7.53,753.38,589.56,347576.2,6027.75,803.7,100.46,78.61,6179.13,347576.2,1,0.7825
PASSED,8547.75,3157.5,21,35,54.55,21,35,14,-409.5,6.74,5.54,1.02,6.74,673.75,596.66,356000.05,5390.25,718.7,89.84,79.55,6328.89,356000.05,2,0.885463
PASSED,8497.5,2097.75,23,37,72.73,23,37,14,133.5,8,6.38,1.44,8,799.88,501.69,251688.09,6399.75,853.3,106.66,66.89,4474.45,251688.09,0,0.627133
PASSED,8178.75,3231.75,27,42,54.55,27,42,15,-610.5,6.18,5.15,0.72,6.18,618.38,636.26,404828.02,4947,659.6,82.45,84.83,7196.94,404828.02,2,1.028866
PASSED,8672.25,2842.5,21,35,63.64,21,35,14,-279,7.29,5.91,0.79,7.29,728.63,594.37,353277,5829.75,777.3,97.16,79.25,6280.48,353277,1,0.815665
PASSED,8848.5,2603.25,20,34,63.64,20,34,14,-207.75,7.81,6.25,0.8,7.81,780.63,628.75,395326.05,6245.25,832.7,104.09,83.83,7028.02,395326.05,1,0.805361
PASSED,8708.25,3157.5,20,34,54.55,20,34,14,-409.5,6.94,5.67,1.06,6.94,693.75,626.58,392601.59,5550.75,740.1,92.51,83.54,6979.58,392601.59,2,0.903038
